name	grid	source_photo	confidence
Cimarron St.	A 15	2026-09-18 11.29.42.jpg	certain
Cincinnati St.	P 13	2026-09-18 11.29.42.jpg	certain
City View Ave.	P 13	2026-09-18 11.29.42.jpg	certain
Clanton St.	I 16	2026-09-18 11.29.42.jpg	certain
Clara St.	L 12	2026-09-18 11.29.42.jpg	certain
Clarence St.	M 13	2026-09-18 11.29.42.jpg	certain
Clay St.	J 13	2026-09-18 11.29.42.jpg	certain
Cleveland St.	K 10	2026-09-18 11.29.42.jpg	certain
Cliff St.	F 11	2026-09-18 11.29.42.jpg	certain
Clifton St.	P 7	2026-09-18 11.29.42.jpg	certain
Clinton St.	Q 14	2026-09-18 11.29.42.jpg	certain
Clover St.	N 10	2026-09-18 11.29.42.jpg	certain
Colby Ave.	J 22	2026-09-18 11.29.42.jpg	certain
Colina Ave.	H 11	2026-09-18 11.29.42.jpg	certain
College St.	K 10	2026-09-18 11.29.42.jpg	certain
Collie St.	A 17	2026-09-18 11.29.42.jpg	certain
Colton St.	I 11	2026-09-18 11.29.42.jpg	certain
Columbia Ave.	H 12	2026-09-18 11.29.42.jpg	certain
Colusa St.	R 16	2026-09-18 11.29.42.jpg	certain
Colyton St.	L 14	2026-09-18 11.29.42.jpg	certain
Commercial St.	L 14	2026-09-18 11.29.42.jpg	certain
Commonwealth Ave	E 10	2026-09-18 11.29.42.jpg	certain
Compton Ave.	J 18	2026-09-18 11.29.42.jpg	certain
Concha St.	L 12	2026-09-18 11.29.42.jpg	uncertain
Concord St.	Q 16	2026-09-18 11.29.42.jpg	probable
Confidence St.	F 19	2026-09-18 11.29.42.jpg	certain
Congress Ave.	G 15	2026-09-18 11.29.42.jpg	certain
Constance St.	F 14	2026-09-18 11.29.42.jpg	certain
Connecticut St.	G 13	2026-09-18 11.29.42.jpg	certain
Cooper St.	J 8	2026-09-18 11.29.42.jpg	certain
Cordova St.	D 15	2026-09-18 11.29.42.jpg	certain
Cornwell St.	P 12	2026-09-18 11.29.42.jpg	certain
Corona St.	O 16	2026-09-18 11.29.42.jpg	certain
Coronado St.	F 11	2026-09-18 11.29.42.jpg	certain
Coronel St.	K 10	2026-09-18 11.29.42.jpg	certain
Cortez St.	H 10	2026-09-18 11.29.42.jpg	certain
Corto St.	I 11	2026-09-18 11.29.42.jpg	certain
Cosmo St.	P 12	2026-09-18 11.29.42.jpg	certain
Cottage Home	L 10	2026-09-18 11.29.42.jpg	certain
Cottage Pl.	H 14	2026-09-18 11.29.42.jpg	certain
Council St.	H 10	2026-09-18 11.29.42.jpg	certain
Court St.	K 12	2026-09-18 11.29.42.jpg	certain
Cortland St.	E 14	2026-09-18 11.29.42.jpg	certain
Court Circle St.	I 11	2026-09-18 11.29.42.jpg	certain
Crescent St.	N 3	2026-09-18 11.29.42.jpg	certain
Crittenden St.	H 7	2026-09-18 11.29.42.jpg	certain
Crocker St.	K 14	2026-09-18 11.29.42.jpg	certain
Crosby Pl.	I 9	2026-09-18 11.29.42.jpg	certain
Cummings St.	O 14	2026-09-18 11.29.42.jpg	certain
Curtis St.	L 10	2026-09-18 11.29.42.jpg	certain
Custer Ave.	J 11	2026-09-18 11.29.51.jpg	certain
Cypress Ave.	M 5	2026-09-18 11.29.51.jpg	certain
D St.	I 6	2026-09-18 11.29.51.jpg	certain
Dacotah St.	Q 15	2026-09-18 11.29.51.jpg	certain
Daly St.	O 10	2026-09-18 11.29.51.jpg	certain
Dana St.	D 16	2026-09-18 11.29.51.jpg	certain
Darien Pl.	E 15	2026-09-18 11.29.51.jpg	certain
Dartmouth St.	G 9	2026-09-18 11.29.51.jpg	certain
Darwin Ave.	D 10	2026-09-18 11.29.51.jpg	certain
Date St.	L 11	2026-09-18 11.29.51.jpg	certain
Dauphin St.	R 15	2026-09-18 11.29.51.jpg	certain
Dawn St.	O 16	2026-09-18 11.29.51.jpg	certain
Dayton Ave.	O 7	2026-09-18 11.29.51.jpg	certain
Decatur St.	L 16	2026-09-18 11.29.51.jpg	certain
DeFrees St.	F 6	2026-09-18 11.29.51.jpg	certain
Del Mar Ave.	F 6	2026-09-18 11.29.51.jpg	certain
Del Monte St.	F 18	2026-09-18 11.29.51.jpg	certain
De Long St.	G 15	2026-09-18 11.29.51.jpg	certain
Del Norte	O 6	2026-09-18 11.29.51.jpg	certain
Delta St.	I 7	2026-09-18 11.29.51.jpg	certain
Denker Ave.	B 17	2026-09-18 11.29.51.jpg	certain
Denver Ave.	H 13	2026-09-18 11.29.51.jpg	certain
Dewey St.	D 13	2026-09-18 11.29.51.jpg	certain
Diamond St.	J 11	2026-09-18 11.29.51.jpg	certain
Diana St.	E 10	2026-09-18 11.29.51.jpg	certain
Dillon St.	F 7	2026-09-18 11.29.51.jpg	certain
Dixon	D 14	2026-09-18 11.29.51.jpg	certain
Dobinson St.	Q 13	2026-09-18 11.29.51.jpg	certain
Dominiquez Ave.	I 22	2026-09-18 11.29.51.jpg	certain
Don Abel St.	K 18	2026-09-18 11.29.51.jpg	certain
Donahoe St.	P 11	2026-09-18 11.29.51.jpg	certain
Donalson St.	J 16	2026-09-18 11.29.51.jpg	certain
Dora St.	F 11	2026-09-18 11.29.51.jpg	certain
Dorchester St.	A 14	2026-09-18 11.29.51.jpg	certain
Douglas St.	I 10	2026-09-18 11.29.51.jpg	certain
Douillard St.	N 10	2026-09-18 11.29.51.jpg	certain
Downey Ave.	N 9	2026-09-18 11.29.51.jpg	certain
Duarte St.	K 23	2026-09-18 11.29.51.jpg	certain
Ducommun St.	L 12	2026-09-18 11.29.31.jpg	certain
Durango St.	A 17	2026-09-18 11.29.31.jpg	certain
E St.	I 6	2026-09-18 11.29.31.jpg	certain
Eagle St.	P 15	2026-09-18 11.29.31.jpg	certain
Eagle Rock Ave.	M 3	2026-09-18 11.29.31.jpg	certain
East Lake Ave.	P 10	2026-09-18 11.29.31.jpg	certain
E. Side Boulevard	Q 14	2026-09-18 11.29.31.jpg	certain
Easton St.	M 13	2026-09-18 11.29.31.jpg	certain
Echandia St.	N 13	2026-09-18 11.29.31.jpg	certain
Echo St.	Q 4	2026-09-18 11.29.31.jpg	certain
Echo Park Road	I 6	2026-09-18 11.29.31.jpg	certain
Edgar St.	I 7	2026-09-18 11.29.31.jpg	certain
Edgeware Road	I 7	2026-09-18 11.29.31.jpg	certain
Edwin St.	M 19	2026-09-18 11.29.31.jpg	certain
Effie St.	H 6	2026-09-18 11.29.31.jpg	certain
Eighth St.	J 14	2026-09-18 11.29.31.jpg	certain
Eighteenth St.	G 15	2026-09-18 11.29.31.jpg	certain
Ella Ave.	L 7	2026-09-18 11.29.31.jpg	certain
Elden Ave.	E 13	2026-09-18 11.29.31.jpg	certain
Eldorado St.	E 9	2026-09-18 11.29.31.jpg	certain
Eleventh St.	H 14	2026-09-18 11.29.31.jpg	certain
Elgin St.	N 3	2026-09-18 11.29.31.jpg	certain
Elizabeth St.	L 11	2026-09-18 11.29.31.jpg	certain
Ellendale Pl.	O 16	2026-09-18 11.29.31.jpg	certain
Ellery St.	L 16	2026-09-18 11.29.31.jpg	certain
Elliot St.	M 12	2026-09-18 11.29.31.jpg	certain
Ellsworth St.	F 8	2026-09-18 11.29.31.jpg	certain
El Molino St.	C 13	2026-09-18 11.29.31.jpg	certain
Elmyra St.	L 10	2026-09-18 11.29.31.jpg	certain
Elthea St.	M 6	2026-09-18 11.29.31.jpg	probable
Elwood St.	L 17	2026-09-18 11.29.31.jpg	certain
Elysian St.	J 8	2026-09-18 11.29.31.jpg	certain
Elysian Park	L 8	2026-09-18 11.29.31.jpg	certain
Elysian Park Ave.	J 9	2026-09-18 11.29.31.jpg	certain
Emerald St.	I 11	2026-09-18 11.29.31.jpg	certain
Emerson St.	P 12	2026-09-18 11.29.31.jpg	certain
Emma Ave.	Q 8	2026-09-18 11.29.31.jpg	certain
Emmet St.	Q 15	2026-09-18 11.29.31.jpg	certain
Encino St.	J 23	2026-09-18 11.29.31.jpg	certain
Ensenada St.	J 21	2026-09-18 11.29.31.jpg	certain
Enterprise St.	L 16	2026-09-18 11.29.31.jpg	certain
Esperanza St.	P 17	2026-09-18 11.29.31.jpg	certain
Essex St.	J 17	2026-09-18 11.29.31.jpg	certain
Estrade St.	O 17	2026-09-18 11.29.31.jpg	certain
Estrella Ave.	F 16	2026-09-18 11.29.31.jpg	certain
Etta St.	D 5	2026-09-18 11.29.31.jpg	certain
Euclid Ave.	P 16	2026-09-18 11.29.31.jpg	certain
Eureka St.	H 20	2026-09-18 11.29.31.jpg	certain
Eva Terrace St.	Q 8	2026-09-18 11.29.31.jpg	certain
Everett St.	J 9	2026-09-18 11.29.31.jpg	certain
Evergreen Ave.	Q 14	2026-09-18 11.29.31.jpg	certain
Ezra St.	Q 16	2026-09-18 11.29.31.jpg	certain
F St.	I 6	2026-09-18 11.29.42.jpg	certain
Fair View	N 12	2026-09-18 11.29.42.jpg	certain
Fairman St.	H 7	2026-09-18 11.29.42.jpg	certain
Fairmount St.	P 13	2026-09-18 11.29.42.jpg	certain
Fanita Pl.	E 20	2026-09-18 11.29.42.jpg	certain
Fanning St.	G 8	2026-09-18 11.29.42.jpg	certain
Farmer St.	H 11	2026-09-18 11.29.42.jpg	certain
Fayette	L 3	2026-09-18 11.29.42.jpg	certain
Fedora St.	C 13	2026-09-18 11.29.42.jpg	certain
Felicia St.	K 17	2026-09-18 11.29.42.jpg	certain
Felipe St.	Q 17	2026-09-18 11.29.42.jpg	certain
Ferguson Alley	L 12	2026-09-18 11.29.42.jpg	certain
Fern St.	P 7	2026-09-18 11.29.42.jpg	certain
Fickett St.	P 14	2026-09-18 11.29.42.jpg	certain
Fifth St.	J 14	2026-09-18 11.29.42.jpg	certain
Fifteenth St.	H 15	2026-09-18 11.29.42.jpg	certain
Fiftieth St.	H 22	2026-09-18 11.29.42.jpg	certain
Fifty-first St.	H 22	2026-09-18 11.29.42.jpg	certain
Fifty-second St.	H 22	2026-09-18 11.26.23.jpg	probable
Fifty-third St.	H 22	2026-09-18 11.29.42.jpg	certain
Fifty-fourth St.	H 22	2026-09-18 11.29.42.jpg	certain
Fifty-fifth St.	H 23	2026-09-18 11.29.42.jpg	certain
Fifty-sixth St.	H 23	2026-09-18 11.29.42.jpg	certain
Fifty-seventh St.	H 23	2026-09-18 11.29.42.jpg	certain
Fifty-eighth St.	H 23	2026-09-18 11.29.42.jpg	certain
Figueroa St.	H 14	2026-09-18 11.26.23.jpg	certain
Fireman St.	I 10	2026-09-18 11.26.23.jpg	certain
First St.	K 13	2026-09-18 11.26.23.jpg	certain
Florida St.	H 13	2026-09-18 11.26.23.jpg	certain
Flower St.	H 14	2026-09-18 11.26.23.jpg	certain
Flora Ave.	O 8	2026-09-18 11.26.23.jpg	certain
Folsom St.	P 13	2026-09-18 11.26.23.jpg	certain
Fort Moore Pl.	H 12	2026-09-18 11.26.23.jpg	certain
Fourth St.	J 13	2026-09-18 11.26.23.jpg	certain
Fourteenth St.	H 15	2026-09-18 11.26.23.jpg	certain
Fortieth St.	O 19	2026-09-18 11.26.23.jpg	certain
Forty-first St.	F 19	2026-09-18 11.26.23.jpg	certain
Forty-second St.	H 20	2026-09-18 11.26.23.jpg	certain
Forty-third St.	H 21	2026-09-18 11.26.23.jpg	certain
Forty-fourth St.	C 18	2026-09-18 11.26.23.jpg	certain
Forty-fifth St.	H 21	2026-09-18 11.26.23.jpg	certain
Forty-sixth St.	H 21	2026-09-18 11.26.23.jpg	certain
Forty-seventh St.	H 21	2026-09-18 11.26.23.jpg	certain
Forty-eighth St.	H 21	2026-09-18 11.26.23.jpg	certain
Forty-ninth St.	H 21	2026-09-18 11.26.23.jpg	certain
Fortuna St.	J 23	2026-09-18 11.26.23.jpg	certain
Foster St.	F 17	2026-09-18 11.26.23.jpg	certain
Francis St.	E 12	2026-09-18 11.26.23.jpg	certain
Francisco St.	H 13	2026-09-18 11.26.23.jpg	certain
Franklin St.	K 12	2026-09-18 11.26.23.jpg	certain
Fredonia Ave.	P 4	2026-09-18 11.26.23.jpg	certain
Freight St.	L 14	2026-09-18 11.26.23.jpg	certain
Fremont Ave.	J 11	2026-09-18 11.26.23.jpg	certain
French Ave.	O 6	2026-09-18 11.26.23.jpg	certain
Fresno St.	E 15	2026-09-18 11.30.36.jpg	uncertain
Gallardo St.	N 12	2026-09-18 11.30.36.jpg	certain
Galveston St.	J 8	2026-09-18 11.30.36.jpg	certain
Ganahl St.	Q 12	2026-09-18 11.30.36.jpg	certain
Garcia St.	L 12	2026-09-18 11.30.36.jpg	certain
Garey St.	L 13	2026-09-18 11.30.36.jpg	certain
Garibaldi St.	L 12	2026-09-18 11.30.36.jpg	certain
Garland Ave.	H 13	2026-09-18 11.30.36.jpg	certain
Garnet	N 16	2026-09-18 11.30.36.jpg	certain
Gates St.	P 10	2026-09-18 11.30.36.jpg	certain
Geneva St.	E 10	2026-09-18 11.30.36.jpg	certain
George St.	P 8	2026-09-18 11.30.36.jpg	certain
Georgia St.	G 15	2026-09-18 11.30.36.jpg	certain
Gertrude St.	N 11	2026-09-18 11.30.36.jpg	certain
Gibbons St.	M 10	2026-09-18 11.30.36.jpg	certain
Gillette	N 12	2026-09-18 11.30.36.jpg	certain
Gillig Ave.	Q 7	2026-09-18 11.30.36.jpg	certain
Gillitte St.	N 12	2026-09-18 11.30.36.jpg	certain
